CN101010100	北京
CN101160201	定西
CN101160202	定西
CN101160203	定西
CN101160204	定西
CN101160205	定西
CN101160206	定西
CN101160207	定西
CN101160208	定西
CN101160301	平凉
CN101160302	平凉
CN101160303	平凉
CN101160304	平凉
CN101160305	平凉
CN101160306	平凉
CN101160307	平凉
CN101160308	平凉
CN101160401	庆阳
CN101160402	庆阳
CN101160403	庆阳
CN101160404	庆阳
CN101160405	庆阳
CN101160406	庆阳
CN101160407	庆阳
CN101160408	庆阳
CN101160409	庆阳
CN101160501	武威
CN101160502	武威
CN101160503	武威
CN101160504	武威
CN101160505	武威
CN101160601	金昌
CN101160602	金昌
CN101160603	金昌
CN101160701	张掖
CN101160702	张掖
CN101160703	张掖
CN101160704	张掖
CN101160705	张掖
CN101160706	张掖
CN101160707	张掖
CN101160801	酒泉
CN101160802	酒泉
CN101160803	酒泉
CN101160804	酒泉
CN101160805	酒泉
CN101160806	酒泉
CN101160807	酒泉
CN101160808	酒泉
CN101160901	天水
CN101160902	天水
CN101160903	天水
CN101160904	天水
CN101160905	天水
CN101160906	天水
CN101160907	天水
CN101160908	天水
CN101161001	陇南
CN101161002	陇南
CN101161003	陇南
CN101161004	陇南
CN101161005	陇南
CN101161006	陇南
CN101161007	陇南
CN101161008	陇南
CN101161009	陇南
CN101161010	陇南
CN101161101	临夏
CN101161102	临夏
CN101161103	临夏
CN101161104	临夏
CN101161105	临夏
CN101161106	临夏
CN101161107	临夏
CN101161201	甘南
CN101161202	甘南
CN101161203	甘南
CN101161204	甘南
CN101161205	甘南
CN101161206	甘南
CN101161207	甘南
CN101161208	甘南
CN101161209	甘南
CN101161301	白银
CN101161302	白银
CN101161303	白银
CN101161304	白银
CN101161305	白银
CN101161401	嘉峪关
CN101170101	银川
CN101170102	银川
CN101170103	银川
CN101170104	银川
CN101170105	银川
CN101170106	银川
CN101170107	银川
CN101170201	石嘴山
CN101170202	石嘴山
CN101170203	石嘴山
CN101170205	石嘴山
CN101170301	吴忠
CN101170302	吴忠
CN101170303	吴忠
CN101170304	吴忠
CN101170305	吴忠
CN101170306	吴忠
CN101170401	固原
CN101170402	固原
CN101170403	固原
CN101170404	固原
CN101170405	固原
CN101170406	固原
CN101170501	中卫
CN101170502	中卫
CN101170503	中卫
CN101170504	中卫
CN101180101	郑州
CN101180102	郑州
CN101180103	郑州
CN101180104	郑州
CN101180105	郑州
CN101180106	郑州
CN101180107	郑州
CN101180108	郑州
CN101180109	郑州
CN101180110	郑州
CN101180111	郑州
CN101180112	郑州
CN101180113	郑州
CN101180201	安阳
CN101180202	安阳
CN101180203	安阳
CN101180204	安阳
CN101180205	安阳
CN101180206	安阳
CN101180207	安阳
CN101180208	安阳
CN101180209	安阳
CN101180301	新乡
CN101180302	新乡
CN101180303	新乡
CN101180304	新乡
CN101180305	新乡
CN101180306	新乡
CN101180307	新乡
CN101180308	新乡
CN101180309	新乡
CN101180310	新乡
CN101180311	新乡
CN101180312	新乡
CN101180401	许昌
CN101180402	许昌
CN101180403	许昌
CN101180404	许昌
CN101180405	许昌
CN101180406	许昌
CN101180501	平顶山
CN101180502	平顶山
CN101180503	平顶山
CN101180504	平顶山
CN101180505	平顶山
CN101180506	平顶山
CN101180507	平顶山
CN101180508	平顶山
CN101180509	平顶山
CN101180510	平顶山
CN101180511	平顶山
CN101180601	信阳
CN101180602	信阳
CN101180603	信阳
CN101180604	信阳
CN101180605	信阳
CN101180606	信阳
CN101180607	信阳
CN101180608	信阳
CN101180609	信阳
CN101180610	信阳
CN101180611	信阳
CN101180701	南阳
CN101180702	南阳
CN101180703	南阳
CN101180704	南阳
CN101180705	南阳
CN101180706	南阳
CN101180707	南阳
CN101180708	南阳
CN101180709	南阳
CN101180710	南阳
CN101180711	南阳
CN101180712	南阳
CN101180713	南阳
CN101180714	南阳
CN101180801	开封
CN101180802	开封
CN101180803	开封
CN101180804	开封
CN101180805	开封
CN101180806	开封
CN101180807	开封
CN101180808	开封
CN101180809	开封
CN101180810	开封
CN101180901	洛阳
CN101180902	洛阳
CN101180903	洛阳
CN101180904	洛阳
CN101180905	洛阳
CN101180906	洛阳
CN101180907	洛阳
CN101180908	洛阳
CN101180909	洛阳
CN101180910	洛阳
CN101180911	洛阳
CN101180912	洛阳
CN101180913	洛阳
CN101180914	洛阳
CN101180915	洛阳
CN101180916	洛阳
CN101181001	商丘
CN101181002	商丘
CN101181003	商丘
CN101181004	商丘
CN101181005	商丘
CN101181006	商丘
CN101181007	商丘
CN101181008	商丘
CN101181009	商丘
CN101181010	商丘
CN101181101	焦作
CN101181102	焦作
CN101181103	焦作
CN101181104	焦作
CN101181105	焦作
CN101181106	焦作
CN101181107	焦作
CN101181108	焦作
CN101181109	焦作
CN101181110	焦作
CN101181111	焦作
CN101181201	鹤壁
CN101181202	鹤壁
CN101181203	鹤壁
CN101181204	鹤壁
CN101181205	鹤壁
CN101181206	鹤壁
CN101181301	濮阳
CN101181302	濮阳
CN101181303	濮阳
CN101181304	濮阳
CN101181305	濮阳
CN101181306	濮阳
CN101181401	周口
CN101181402	周口
CN101181403	周口
CN101181404	周口
CN101181405	周口
CN101181406	周口
CN101181407	周口
CN101181408	周口
CN101181409	周口
CN101181410	周口
CN101181411	周口
CN101181501	漯河
CN101181502	漯河
CN101181503	漯河
CN101181504	漯河
CN101181505	漯河
CN101181506	漯河
CN101181601	驻马店
CN101181602	驻马店
CN101181603	驻马店
CN101181604	驻马店
CN101181605	驻马店
CN101181606	驻马店
CN101181607	驻马店
CN101181608	驻马店
CN101181609	驻马店
CN101181610	驻马店
CN101181611	驻马店
CN101181701	三门峡
CN101181702	三门峡
CN101181703	三门峡
CN101181704	三门峡
CN101181705	三门峡
CN101181706	三门峡
CN101181707	三门峡
CN101181708	三门峡
CN101181801	济源
CN101190101	南京
CN101190102	南京
CN101190103	南京
CN101190104	南京
CN101190105	南京
CN101190107	南京
CN101190108	南京
CN101190109	南京
CN101190110	南京
CN101190111	南京
CN101190112	南京
CN101190113	南京
CN101190201	无锡
CN101190202	无锡
CN101190203	无锡
CN101190204	无锡
CN101190205	无锡
CN101190206	无锡
CN101190207	无锡
CN101190208	无锡
CN101190301	镇江
CN101190302	镇江
CN101190303	镇江
CN101190304	镇江
CN101190305	镇江
CN101190306	镇江
CN101190307	镇江
CN101190401	苏州
CN101190402	苏州
CN101190403	苏州
CN101190404	苏州
CN101190405	苏州
CN101190406	苏州
CN101190407	苏州
CN101190408	苏州
CN101190409	苏州
CN101190410	苏州
CN101190501	南通
CN101190502	南通
CN101190503	南通
CN101190504	南通
CN101190505	南通
CN101190506	南通
CN101190507	南通
CN101190508	南通
CN101190509	南通
CN101190601	扬州
CN101190602	扬州
CN101190603	扬州
CN101190604	扬州
CN101190605	扬州
CN101190606	扬州
CN101190607	扬州
CN101190701	盐城
CN101190702	盐城
CN101190703	盐城
CN101190704	盐城
CN101190705	盐城
CN101190706	盐城
CN101190707	盐城
CN101190708	盐城
CN101190709	盐城
CN101190710	盐城
CN101190801	徐州
CN101190802	徐州
CN101190803	徐州
CN101190804	徐州
CN101190805	徐州
CN101190806	徐州
CN101190807	徐州
CN101190808	徐州
CN101190809	徐州
CN101190810	徐州
CN101190811	徐州
CN101190901	淮安
CN101190902	淮安
CN101190903	淮安
CN101190904	淮安
CN101190905	淮安
CN101190906	淮安
CN101190907	淮安
CN101190908	淮安
CN101190909	淮安
CN101191001	连云港
CN101191002	连云港
CN101191003	连云港
CN101191004	连云港
CN101191005	连云港
CN101191006	连云港
CN101191101	常州
CN101191102	常州
CN101191103	常州
CN101191104	常州
CN101191105	常州
CN101191106	常州
CN101191107	常州
CN101191201	泰州
CN101191202	泰州
CN101191203	泰州
CN101191204	泰州
CN101191205	泰州
CN101191206	泰州
CN101191207	泰州
CN101191301	宿迁
CN101191302	宿迁
CN101191303	宿迁
CN101191304	宿迁
CN101191305	宿迁
CN101191306	宿迁
CN101200101	武汉
CN101200102	武汉
CN101200103	武汉
CN101200104	武汉
CN101200105	武汉
CN101200106	武汉
CN101200107	武汉
CN101200108	武汉
CN101200109	武汉
CN101200110	武汉
CN101200111	武汉
CN101200112	武汉
CN101200113	武汉
CN101200114	武汉
CN101200201	襄阳
CN101200202	襄阳
CN101200203	襄阳
CN101200204	襄阳
CN101200205	襄阳
CN101200206	襄阳
CN101200207	襄阳
CN101200208	襄阳
CN101200209	襄阳
CN101200210	襄阳
CN101200301	鄂州
CN101200302	鄂州
CN101200303	鄂州
CN101200304	鄂州
CN101200401	孝感
CN101200402	孝感
CN101200403	孝感
CN101200404	孝感
CN101200405	孝感
CN101200406	孝感
CN101200407	孝感
CN101200408	孝感
CN101200501	黄冈
CN101200502	黄冈
CN101200503	黄冈
CN101200504	黄冈
CN101200505	黄冈
CN101200506	黄冈
CN101200507	黄冈
CN101200508	黄冈
CN101200509	黄冈
CN101200510	黄冈
CN101200511	黄冈
CN101200601	黄石
CN101200602	黄石
CN101200603	黄石
CN101200604	黄石
CN101200605	黄石
CN101200606	黄石
CN101200607	黄石
CN101200701	咸宁
CN101200702	咸宁
CN101200703	咸宁
CN101200704	咸宁
CN101200705	咸宁
CN101200706	咸宁
CN101200707	咸宁
CN101200801	荆州
CN101200802	荆州
CN101200803	荆州
CN101200804	荆州
CN101200805	荆州
CN101200806	荆州
CN101200807	荆州
CN101200808	荆州
CN101200901	宜昌
CN101200902	宜昌
CN101200903	宜昌
CN101200904	宜昌
CN101200905	宜昌
CN101200906	宜昌
CN101200907	宜昌
CN101200908	宜昌
CN101200909	宜昌
CN101200910	宜昌
CN101200912	宜昌
CN101200913	宜昌
CN101200914	宜昌
CN101200915	宜昌
CN101201001	恩施
CN101201002	恩施
CN101201003	恩施
CN101201004	恩施
CN101201005	恩施
CN101201006	恩施
CN101201007	恩施
CN101201008	恩施
CN101201101	十堰
CN101201102	十堰
CN101201103	十堰
CN101201104	十堰
CN101201105	十堰
CN101201106	十堰
CN101201107	十堰
CN101201108	十堰
CN101201109	十堰
CN101201201	神农架
CN101201301	随州
CN101201302	随州
CN101201303	随州
CN101201304	随州
CN101201401	荆门
CN101201402	荆门
CN101201403	荆门
CN101201404	荆门
CN101201405	荆门
CN101201406	荆门
CN101201501	天门
CN101201601	仙桃
CN101201701	潜江
CN101210101	杭州
CN101210102	杭州
CN101210103	杭州
CN101210104	杭州
CN101210105	杭州
CN101210106	杭州
CN101210107	杭州
CN101210108	杭州
CN101210109	杭州
CN101210110	杭州
CN101210111	杭州
CN101210112	杭州
CN101210113	杭州
CN101210114	杭州
CN101210201	湖州
CN101210202	湖州
CN101210203	湖州
CN101210204	湖州
CN101210205	湖州
CN101210206	湖州
CN101210301	嘉兴
CN101210302	嘉兴
CN101210303	嘉兴
CN101210304	嘉兴
CN101210305	嘉兴
CN101210306	嘉兴
CN101210307	嘉兴
CN101210308	嘉兴
CN101210401	宁波
CN101210402	宁波
CN101210403	宁波
CN101210404	宁波
CN101210405	宁波
CN101210406	宁波
CN101210407	宁波
CN101210408	宁波
CN101210409	宁波
CN101210410	宁波
CN101210411	宁波
CN101210412	宁波
CN101210501	绍兴
CN101210502	绍兴
CN101210503	绍兴
CN101210504	绍兴
CN101210505	绍兴
CN101210506	绍兴
CN101210507	绍兴
CN101210601	台州
CN101210603	台州
CN101210604	台州
CN101210605	台州
CN101210606	台州
CN101210607	台州
CN101210610	台州
CN101210611	台州
CN101210612	台州
CN101210613	台州
CN101210701	温州
CN101210702	温州
CN101210703	温州
CN101210704	温州
CN101210705	温州
CN101210706	温州
CN101210707	温州
CN101210708	温州
CN101210709	温州
CN101210710	温州
CN101210711	温州
CN101210712	温州
CN101210801	丽水
CN101210802	丽水
CN101210803	丽水
CN101210804	丽水
CN101210805	丽水
CN101210806	丽水
CN101210807	丽水
CN101210808	丽水
CN101210809	丽水
CN101210810	丽水
CN101210901	金华
CN101210902	金华
CN101210903	金华
CN101210904	金华
CN101210905	金华
CN101210906	金华
CN101210907	金华
CN101210908	金华
CN101210909	金华
CN101210910	金华
CN101211001	衢州
CN101211002	衢州
CN101211003	衢州
CN101211004	衢州
CN101211005	衢州
CN101211006	衢州
CN101211007	衢州
CN101211101	舟山
CN101211102	舟山
CN101211104	舟山
CN101211105	舟山
CN101211106	舟山
CN101220101	合肥
CN101220102	合肥
CN101220103	合肥
CN101220104	合肥
CN101220105	合肥
CN101220106	合肥
CN101220107	合肥
CN101220108	合肥
CN101220109	合肥
CN101220110	合肥
CN101220201	蚌埠
CN101220202	蚌埠
CN101220203	蚌埠
CN101220204	蚌埠
CN101220205	蚌埠
CN101220206	蚌埠
CN101220207	蚌埠
CN101220208	蚌埠
CN101220301	芜湖
CN101220302	芜湖
CN101220303	芜湖
CN101220304	芜湖
CN101220305	芜湖
CN101220306	芜湖
CN101220307	芜湖
CN101220308	芜湖
CN101220309	芜湖
CN101220401	淮南
CN101220402	淮南
CN101220403	淮南
CN101220404	淮南
CN101220405	淮南
CN101220406	淮南
CN101220407	淮南
CN101220408	淮南
CN101220501	马鞍山
CN101220502	马鞍山
CN101220503	马鞍山
CN101220504	马鞍山
CN101220505	马鞍山
CN101220506	马鞍山
CN101220507	马鞍山
CN101220601	安庆
CN101220603	安庆
CN101220604	安庆
CN101220605	安庆
CN101220606	安庆
CN101220607	安庆
CN101220608	安庆
CN101220609	安庆
CN101220610	安庆
CN101220611	安庆
CN101220612	安庆
CN101220701	宿州
CN101220702	宿州
CN101220703	宿州
CN101220704	宿州
CN101220705	宿州
CN101220706	宿州
CN101220801	阜阳
CN101220802	阜阳
CN101220803	阜阳
CN101220804	阜阳
CN101220805	阜阳
CN101220806	阜阳
CN101220807	阜阳
CN101220808	阜阳
CN101220809	阜阳
CN101220901	亳州
CN101220902	亳州
CN101220903	亳州
CN101220904	亳州
CN101220905	亳州
CN101221001	黄山
CN101221002	黄山
CN101221003	黄山
CN101221004	黄山
CN101221005	黄山
CN101221006	黄山
CN101221007	黄山
CN101221009	黄山
CN101221101	滁州
CN101221102	滁州
CN101221103	滁州
CN101221104	滁州
CN101221105	滁州
CN101221106	滁州
CN101221107	滁州
CN101221108	滁州
CN101221109	滁州
CN101221201	淮北
CN101221202	淮北
CN101221203	淮北
CN101221204	淮北
CN101221205	淮北
CN101221301	铜陵
CN101221302	铜陵
CN101221303	铜陵
CN101221304	铜陵
CN101221305	铜陵
CN101221401	宣城
CN101221402	宣城
CN101221403	宣城
CN101221404	宣城
CN101221405	宣城
CN101221406	宣城
CN101221407	宣城
CN101221408	宣城
CN101221501	六安
CN101221502	六安
CN101221504	六安
CN101221505	六安
CN101221506	六安
CN101221507	六安
CN101221508	六安
CN101221509	六安
CN101221701	池州
CN101221702	池州
CN101221703	池州
CN101221704	池州
CN101221705	池州
CN101221706	池州
CN101230101	福州
CN101230102	福州
CN101230103	福州
CN101230104	福州
CN101230105	福州
CN101230106	福州
CN101230107	福州
CN101230108	福州
CN101230109	福州
CN101230110	福州
CN101230111	福州
CN101230112	福州
CN101230113	福州
CN101230114	福州
CN101230201	厦门
CN101230202	厦门
CN101230203	厦门
CN101230204	厦门
CN101230205	厦门
CN101230206	厦门
CN101230207	厦门
CN101230301	宁德
CN101230302	宁德
CN101230303	宁德
CN101230304	宁德
CN101230305	宁德
CN101230306	宁德
CN101230307	宁德
CN101230308	宁德
CN101230309	宁德
CN101230310	宁德
CN101230401	莆田
CN101230402	莆田
CN101230404	莆田
CN101230405	莆田
CN101230406	莆田
CN101230407	莆田
CN101230501	泉州
CN101230502	泉州
CN101230503	泉州
CN101230504	泉州
CN101230505	泉州
CN101230506	泉州
CN101230508	泉州
CN101230509	泉州
CN101230510	泉州
CN101230511	泉州
CN101230512	泉州
CN101230513	泉州
CN101230514	泉州
CN101230601	漳州
CN101230602	漳州
CN101230603	漳州
CN101230604	漳州
CN101230605	漳州
CN101230606	漳州
CN101230607	漳州
CN101230608	漳州
CN101230609	漳州
CN101230610	漳州
CN101230611	漳州
CN101230612	漳州
CN101230701	龙岩
CN101230702	龙岩
CN101230703	龙岩
CN101230704	龙岩
CN101230705	龙岩
CN101230706	龙岩
CN101230707	龙岩
CN101230708	龙岩
CN101230801	三明
CN101230802	三明
CN101230803	三明
CN101230804	三明
CN101230805	三明
CN101230806	三明
CN101230807	三明
CN101230808	三明
CN101230809	三明
CN101230810	三明
CN101230811	三明
CN101230812	三明
CN101230813	三明
CN101230901	南平
CN101230902	南平
CN101230903	南平
CN101230904	南平
CN101230905	南平
CN101230906	南平
CN101230907	南平
CN101230908	南平
CN101230909	南平
CN101230910	南平
CN101230911	南平
CN101231001	钓鱼岛
CN101240101	南昌
CN101240102	南昌
CN101240103	南昌
CN101240104	南昌
CN101240105	南昌
CN101240106	南昌
CN101240107	南昌
CN101240108	南昌
CN101240109	南昌
CN101240110	南昌
CN101240201	九江
CN101240202	九江
CN101240203	九江
CN101240204	九江
CN101240205	九江
CN101240206	九江
CN101240207	九江
CN101240208	九江
CN101240209	九江
CN101240210	九江
CN101240211	九江
CN101240212	九江
CN101240213	九江
CN101240301	上饶
CN101240302	上饶
CN101240303	上饶
CN101240304	上饶
CN101240305	上饶
CN101240306	上饶
CN101240307	上饶
CN101240308	上饶
CN101240309	上饶
CN101240310	上饶
CN101240311	上饶
CN101240312	上饶
CN101240313	上饶
CN101240401	抚州
CN101240402	抚州
CN101240403	抚州
CN101240404	抚州
CN101240405	抚州
CN101240406	抚州
CN101240407	抚州
CN101240408	抚州
CN101240409	抚州
CN101240410	抚州
CN101240411	抚州
CN101240412	抚州
CN101240501	宜春
CN101240502	宜春
CN101240503	宜春
CN101240504	宜春
CN101240505	宜春
CN101240506	宜春
CN101240507	宜春
CN101240508	宜春
CN101240509	宜春
CN101240510	宜春
CN101240511	宜春
CN101240601	吉安
CN101240602	吉安
CN101240603	吉安
CN101240604	吉安
CN101240605	吉安
CN101240606	吉安
CN101240607	吉安
CN101240608	吉安
CN101240609	吉安
CN101240610	吉安
CN101240611	吉安
CN101240612	吉安
CN101240614	吉安
CN101240615	吉安
CN101240701	赣州
CN101240702	赣州
CN101240703	赣州
CN101240704	赣州
CN101240705	赣州
CN101240706	赣州
CN101240707	赣州
CN101240708	赣州
CN101240709	赣州
CN101240710	赣州
CN101240711	赣州
CN101240712	赣州
CN101240713	赣州
CN101240714	赣州
CN101240715	赣州
CN101240716	赣州
CN101240717	赣州
CN101240718	赣州
CN101240719	赣州
CN101240801	景德镇
CN101240802	景德镇
CN101240803	景德镇
CN101240804	景德镇
CN101240805	景德镇
CN101240901	萍乡
CN101240902	萍乡
CN101240903	萍乡
CN101240904	萍乡
CN101240905	萍乡
CN101240906	萍乡
CN101241001	新余
CN101241002	新余
CN101241003	新余
CN101241101	鹰潭
CN101241102	鹰潭
CN101241103	鹰潭
CN101241104	鹰潭
CN101250101	长沙
CN101250102	长沙
CN101250103	长沙
CN101250104	长沙
CN101250105	长沙
CN101250106	长沙
CN101250107	长沙
CN101250108	长沙
CN101250109	长沙
CN101250110	长沙
CN101250111	长沙
CN101250201	湘潭
CN101250202	湘潭
CN101250203	湘潭
CN101250204	湘潭
CN101250205	湘潭
CN101250301	株洲
CN101250302	株洲
CN101250303	株洲
CN101250304	株洲
CN101250305	株洲
CN101250306	株洲
CN101250307	株洲
CN101250308	株洲
CN101250309	株洲
CN101250401	衡阳
CN101250402	衡阳
CN101250403	衡阳
CN101250404	衡阳
CN101250405	衡阳
CN101250406	衡阳
CN101250407	衡阳
CN101250408	衡阳
CN101250409	衡阳
CN101250410	衡阳
CN101250411	衡阳
CN101250412	衡阳
CN101250413	衡阳
CN101250501	郴州
CN101250502	郴州
CN101250503	郴州
CN101250504	郴州
CN101250505	郴州
CN101250506	郴州
CN101250507	郴州
CN101250508	郴州
CN101250509	郴州
CN101250510	郴州
CN101250511	郴州
CN101250512	郴州
CN101250601	常德
CN101250602	常德
CN101250603	常德
CN101250604	常德
CN101250605	常德
CN101250606	常德
CN101250607	常德
CN101250608	常德
CN101250609	常德
CN101250610	常德
CN101250700	益阳
CN101250701	益阳
CN101250702	益阳
CN101250703	益阳
CN101250704	益阳
CN101250705	益阳
CN101250706	益阳
CN101250801	娄底
CN101250802	娄底
CN101250803	娄底
CN101250804	娄底
CN101250805	娄底
CN101250806	娄底
CN101250901	邵阳
CN101250902	邵阳
CN101250903	邵阳
CN101250904	邵阳
CN101250905	邵阳
CN101250906	邵阳
CN101250907	邵阳
CN101250908	邵阳
CN101250909	邵阳
CN101250910	邵阳
CN101250911	邵阳
CN101250912	邵阳
CN101250913	邵阳
CN101251001	岳阳
CN101251002	岳阳
CN101251003	岳阳
CN101251004	岳阳
CN101251005	岳阳
CN101251006	岳阳
CN101251007	岳阳
CN101251008	岳阳
CN101251009	岳阳
CN101251101	张家界
CN101251102	张家界
CN101251103	张家界
CN101251104	张家界
CN101251105	张家界
CN101251201	怀化
CN101251202	怀化
CN101251203	怀化
CN101251204	怀化
CN101251205	怀化
CN101251206	怀化
CN101251207	怀化
CN101251208	怀化
CN101251209	怀化
CN101251210	怀化
CN101251211	怀化
CN101251212	怀化
CN101251213	怀化
CN101251401	永州
CN101251402	永州
CN101251403	永州
CN101251404	永州
CN101251405	永州
CN101251406	永州
CN101251407	永州
CN101251408	永州
CN101251409	永州
CN101251410	永州
CN101251411	永州
CN101251412	永州
CN101251501	湘西
CN101251502	湘西
CN101251503	湘西
CN101251504	湘西
CN101251505	湘西
CN101251506	湘西
CN101251507	湘西
CN101251508	湘西
CN101251509	湘西
CN101260101	贵阳
CN101260102	贵阳
CN101260103	贵阳
CN101260104	贵阳
CN101260105	贵阳
CN101260106	贵阳
CN101260107	贵阳
CN101260108	贵阳
CN101260110	贵阳
CN101260111	贵阳
CN101260112	贵阳
CN101260201	遵义
CN101260202	遵义
CN101260203	遵义
CN101260204	遵义
CN101260205	遵义
CN101260206	遵义
CN101260207	遵义
CN101260208	遵义
CN101260209	遵义
CN101260210	遵义
CN101260211	遵义
CN101260212	遵义
CN101260213	遵义
CN101260214	遵义
CN101260215	遵义
CN101260216	遵义
CN101260301	安顺
CN101260302	安顺
CN101260303	安顺
CN101260304	安顺
CN101260305	安顺
CN101260306	安顺
CN101260307	安顺
CN101260401	黔南
CN101260402	黔南
CN101260403	黔南
CN101260404	黔南
CN101260405	黔南
CN101260406	黔南
CN101260407	黔南
CN101260408	黔南
CN101260409	黔南
CN101260410	黔南
CN101260411	黔南
CN101260412	黔南
CN101260413	黔南
CN101260501	黔东南
CN101260502	黔东南
CN101260503	黔东南
CN101260504	黔东南
CN101260505	黔东南
CN101260506	黔东南
CN101260507	黔东南
CN101260508	黔东南
CN101260509	黔东南
CN101260510	黔东南
CN101260511	黔东南
CN101260512	黔东南
CN101260513	黔东南
CN101260514	黔东南
CN101260515	黔东南
CN101260516	黔东南
CN101260517	黔东南
CN101260601	铜仁
CN101260602	铜仁
CN101260603	铜仁
CN101260604	铜仁
CN101260605	铜仁
CN101260606	铜仁
CN101260607	铜仁
CN101260608	铜仁
CN101260609	铜仁
CN101260610	铜仁
CN101260611	铜仁
CN101260701	毕节
CN101260702	毕节
CN101260703	毕节
CN101260704	毕节
CN101260705	毕节
CN101260706	毕节
CN101260707	毕节
CN101260708	毕节
CN101260709	毕节
CN101260801	六盘水
CN101260802	六盘水
CN101260803	六盘水
CN101260804	六盘水
CN101260805	六盘水
CN101260901	黔西南
CN101260902	黔西南
CN101260903	黔西南
CN101260904	黔西南
CN101260905	黔西南
CN101260906	黔西南
CN101260907	黔西南
CN101260908	黔西南
CN101260909	黔西南
CN101270101	成都
CN101270102	成都
CN101270103	成都
CN101270104	成都
CN101270105	成都
CN101270106	成都
CN101270107	成都
CN101270108	成都
CN101270109	成都
CN101270110	成都
CN101270111	成都
CN101270112	成都
CN101270113	成都
CN101270114	成都
CN101270115	成都
CN101270116	成都
CN101270117	成都
CN101270118	成都
CN101270119	成都
CN101270120	成都
CN101270121	成都
CN101270201	攀枝花
CN101270202	攀枝花
CN101270203	攀枝花
CN101270204	攀枝花
CN101270205	攀枝花
CN101270206	攀枝花
CN101270301	自贡
CN101270302	自贡
CN101270303	自贡
CN101270304	自贡
CN101270305	自贡
CN101270306	自贡
CN101270307	自贡
CN101270401	绵阳
CN101270402	绵阳
CN101270403	绵阳
CN101270404	绵阳
CN101270405	绵阳
CN101270406	绵阳
CN101270407	绵阳
CN101270408	绵阳
CN101270409	绵阳
CN101270410	绵阳
CN101270411	绵阳
CN101270501	南充
CN101270502	南充
CN101270503	南充
CN101270504	南充
CN101270505	南充
CN101270506	南充
CN101270507	南充
CN101270508	南充
CN101270509	南充
CN101270510	南充
CN101270601	达州
CN101270602	达州
CN101270603	达州
CN101270604	达州
CN101270605	达州
CN101270606	达州
CN101270607	达州
CN101270608	达州
CN101270701	遂宁
CN101270702	遂宁
CN101270703	遂宁
CN101270704	遂宁
CN101270705	遂宁
CN101270706	遂宁
CN101270801	广安
CN101270802	广安
CN101270803	广安
CN101270804	广安
CN101270805	广安
CN101270806	广安
CN101270901	巴中
CN101270902	巴中
CN101270903	巴中
CN101270904	巴中
CN101270905	巴中
CN101270906	巴中
CN101271001	泸州
CN101271002	泸州
CN101271003	泸州
CN101271004	泸州
CN101271005	泸州
CN101271006	泸州
CN101271007	泸州
CN101271008	泸州
CN101271101	宜宾
CN101271102	宜宾
CN101271103	宜宾
CN101271104	宜宾
CN101271105	宜宾
CN101271106	宜宾
CN101271107	宜宾
CN101271108	宜宾
CN101271109	宜宾
CN101271110	宜宾
CN101271111	宜宾
CN101271201	内江
CN101271202	内江
CN101271203	内江
CN101271204	内江
CN101271205	内江
CN101271206	内江
CN101271301	资阳
CN101271302	资阳
CN101271303	资阳
CN101271305	资阳
CN101271401	乐山
CN101271402	乐山
CN101271403	乐山
CN101271404	乐山
CN101271405	乐山
CN101271406	乐山
CN101271407	乐山
CN101271409	乐山
CN101271410	乐山
CN101271411	乐山
CN101271412	乐山
CN101271413	乐山
CN101271501	眉山
CN101271502	眉山
CN101271503	眉山
CN101271504	眉山
CN101271505	眉山
CN101271506	眉山
CN101271507	眉山
CN101271601	凉山
CN101271603	凉山
CN101271604	凉山
CN101271605	凉山
CN101271606	凉山
CN101271607	凉山
CN101271608	凉山
CN101271609	凉山
CN101271610	凉山
CN101271611	凉山
CN101271612	凉山
CN101271613	凉山
CN101271614	凉山
CN101271615	凉山
CN101271616	凉山
CN101271617	凉山
CN101271618	凉山
CN101271619	凉山
CN101271701	雅安
CN101271702	雅安
CN101271703	雅安
CN101271704	雅安
CN101271705	雅安
CN101271706	雅安
CN101271707	雅安
CN101271708	雅安
CN101271709	雅安
CN101271801	甘孜
CN101271802	甘孜
CN101271803	甘孜
CN101271804	甘孜
CN101271805	甘孜
CN101271806	甘孜
CN101271807	甘孜
CN101271808	甘孜
CN101271809	甘孜
CN101271810	甘孜
CN101271811	甘孜
CN101271812	甘孜
CN101271813	甘孜
CN101271814	甘孜
CN101271815	甘孜
CN101271816	甘孜
CN101271817	甘孜
CN101271818	甘孜
CN101271901	阿坝
CN101271902	阿坝
CN101271903	阿坝
CN101271904	阿坝
CN101271905	阿坝
CN101271906	阿坝
CN101271907	阿坝
CN101271908	阿坝
CN101271909	阿坝
CN101271910	阿坝
CN101271911	阿坝
CN101271912	阿坝
CN101271913	阿坝
CN101272001	德阳
CN101272002	德阳
CN101272003	德阳
CN101272004	德阳
CN101272005	德阳
CN101272006	德阳
CN101272007	德阳
CN101272101	广元
CN101272102	广元
CN101272103	广元
CN101272104	广元
CN101272105	广元
CN101272106	广元
CN101272107	广元
CN101272108	广元
CN101280101	广州
CN101280102	广州
CN101280103	广州
CN101280104	广州
CN101280105	广州
CN101280106	广州
CN101280107	广州
CN101280108	广州
CN101280109	广州
CN101280110	广州
CN101280111	广州
CN101280112	广州
CN101280201	韶关
